SlotPitchRatio,tau_so,tau_g,Harmonic_order,coupling_coefficient
0.5,0.1,0.01,13,-0.013689759203604
0.5,0.1,0.0125,1,0.281079558758698
0.5,0.1,0.0175,3,0.0919280294908259
0.5,0.1,0.015,1,0.281034402848997
0.5,0.1,0.0125,5,-0.0526816125384368
0.5,0.1,0.0175,5,-0.0524722001446414
0.5,0.1,0.015,3,0.0920204642915124
0.5,0.1,0.01,1,0.281081863196316
0.5,0.1,0.01,7,-0.0358500388025861
0.5,0.1,0.0125,3,0.0920491588409155
0.5,0.1,0.015,13,-0.0134103121521736
0.5,0.1,0.0125,7,-0.0357102791072629
0.5,0.1,0.01,9,0.0253041338814982
0.5,0.1,0.0125,11,0.0188059328011665
0.5,0.1,0.01,5,-0.0527138390801614
0.5,0.1,0.0125,13,-0.0135772518542222
0.5,0.1,0.01,11,0.0189749106409115
0.5,0.1,0.0175,1,0.28102798859683
0.5,0.1,0.015,9,0.0250480313631256
0.5,0.1,0.015,11,0.0186906938618283
0.5,0.1,0.015,7,-0.0356263714352186
0.5,0.1,0.015,5,-0.0525508786658942
0.5,0.1,0.01,3,0.0921142526800467
0.5,0.1,0.0125,9,0.0252054516815756
0.5,0.1,0.02,13,-0.0130794561214151
0.5,0.1,0.0175,11,0.0185177317637589
0.5,0.105263157895,0.01,5,-0.0522832138563825
0.5,0.1,0.02,9,0.0247866865693215
0.5,0.1,0.02,1,0.281023068359189
0.5,0.105263157895,0.0125,5,-0.0522142745221143
0.5,0.105263157895,0.0125,1,0.280966653218511
0.5,0.105263157895,0.0125,3,0.0918991108442903
0.5,0.105263157895,0.0125,11,0.0182093623016782
0.5,0.105263157895,0.01,11,0.0183347913189451
0.5,0.105263157895,0.0125,7,-0.0353057529628615
0.5,0.105263157895,0.01,1,0.280938444747344
0.5,0.1,0.0175,9,0.0249322698853198
0.5,0.1,0.02,5,-0.0523720288338474
0.5,0.1,0.02,3,0.0918517208796817
0.5,0.1,0.02,11,0.0183416143952634
0.5,0.105263157895,0.01,3,0.0919917050125294
0.5,0.1,0.0175,7,-0.0354884405832966
0.5,0.105263157895,0.01,7,-0.0354067383864153
0.5,0.105263157895,0.0125,9,0.0245352646359055
0.5,0.1,0.02,7,-0.0353377334615727
0.5,0.1,0.0175,13,-0.0132589141423544
0.5,0.105263157895,0.01,13,-0.012892014808552
0.5,0.105263157895,0.01,9,0.0246380064624915
0.5,0.105263157895,0.0125,13,-0.0127706504044962
0.5,0.105263157895,0.015,3,0.0918513032289941
0.5,0.105263157895,0.015,5,-0.0521391473145656
0.5,0.105263157895,0.015,9,0.0244114950737747
0.5,0.105263157895,0.015,11,0.0180529004381697
0.5,0.105263157895,0.015,13,-0.0126287274627975
0.5,0.105263157895,0.015,1,0.28090945100613
0.5,0.105263157895,0.0175,5,-0.0520712384971908
0.5,0.105263157895,0.015,7,-0.0351868626943044
0.5,0.105263157895,0.0175,11,0.0178875238224233
0.5,0.105263157895,0.0175,9,0.0242956101397633
0.5,0.105263157895,0.0175,3,0.0917536675857595
0.5,0.105263157895,0.0175,1,0.280944706817321
0.5,0.105263157895,0.02,5,-0.0520037697803911
0.5,0.105263157895,0.02,9,0.0241685237208653
0.5,0.105263157895,0.02,3,0.0916561158877992
0.5,0.105263157895,0.02,11,0.0176807843611323
0.5,0.105263157895,0.02,13,-0.0123459470922942
0.5,0.105263157895,0.0175,7,-0.0350505190676668
0.5,0.105263157895,0.0175,13,-0.0124918259917899
0.5,0.105263157895,0.02,1,0.280938515458254
0.5,0.105263157895,0.02,7,-0.034868834854059
0.5,0.110526315789,0.01,3,0.0917944660727158
0.5,0.110526315789,0.01,1,0.280871871277092
0.5,0.110526315789,0.01,5,-0.0519117131363947
0.5,0.110526315789,0.0125,1,0.280861824841187
0.5,0.110526315789,0.01,9,0.0240376379644244
0.5,0.110526315789,0.01,7,-0.0349636559263096
0.5,0.110526315789,0.01,11,0.0176969412871195
0.5,0.110526315789,0.01,13,-0.0121590758528181
0.5,0.110526315789,0.0125,3,0.0917371506974351
0.5,0.110526315789,0.0125,5,-0.0518453628940721
